aardvark	oryctérope
arthritis	arthrite
artichoke	artichaut
ascension	ascension
ascension	Ascension
ash	cendre
ash	frâne
ashtray	cendrier
Asia	Asie
asparagus	asperge
aspect	aspect
asphalt	asphalte
Assamese	assamais
ass	âne
ass	âne
ass	idiot
ass	imbécile
ass	cul
associative	associatif
associative	associative
asterisk	astérisque
asteroid	astéroïde
astroid	astroïde
astronaut	astronaute
astronomy	astronomie
asylum	asile
atheism	athéisme
Athena	Athéna
atherosclerosis	athérosclérose
ATM	GAB
atmosphere	ambiance
atmosphere	atmosphère
atomizer	atomiseur
atrium	atrium
atrocity	atrocité
attack	attaque
attempt	tentative
attic	grenier
attribute	attribut
attributive	attributif
attributive	attributive
attrition	usure
aubergine	aubergine
audacity	audace
augury	augure
August	août
auntie	tantine
auntie	tata
aunt	tante
aunt	tatie
Auriga	Cocher
Australia	Australie
Australian	Australien
Australian	Australienne
Austria	Autriche
Austrian	Autrichien
Austrian	Autrichienne
authenticity	authenticité
author	auteur
authority	autorité
autodidact	autodidacte
automotive	véhicule
autonomy	autonomie
autopsy	autopsie
autumn	automne
availability	disponibilité
avalanche	avalanche
average	moyen
average	moyenne
average	moyenne
avocado	avocatier
avocado	avocat
avocet	avocette
awl	alâne
axiom	axiome
axis	axe
azalea	azalée
Azerbaijan	Azerbaïdjan
Azerbaijani	azéri
Azeri	Azerbaïdjanais
Azeri	azéri
baa	bâlement
babe	bébé
babiroussa	babiroussa
baboon	babouin
baby	bébé
baby	benjamin
baby	chou
baby	bébé
Babylon	Babylone
baby	petit
baby	bébé
bachelor	célibataire
bachelordom	célibat
back	arrière
back	derrière
back	revers
back	dos
back	fin
back	fond
backgammon	backgammon
background	arrière-plan
background	fond
backronym	rétro-acronyme
bacon	lardon
bacteriology	bactériologie
bacteriophage	bactériophage
bacterium	bactérie
badger	blaireau
bagpipes	cornemuse
bag	sac
bag	sachet
bag	poche
bailiff	bailli
baker	boulanger
baker	boulangère
bakery	boulangerie
balance	balance
balance	équilibre
balcony	balcon
balderdash	bâtises
balderdash	"p"
baldness	calvitie
ball	balle
ball	boule
ball	bal
ball	boule
ball	couille
ballerina	ballerine
balloon	montgolfière
balrog	balrog
bamboo	bambou
banana	banane
banana	bananier
Bangladesh	Bangladesh
banjo	banjo
bank	banque
bankruptcy	faillite
banner	banderole
banner	banière
banquet	banquet
banquet	festin
banyan	banian
baobab	baobab
baptism	baptâme
bar	bar
bar	barre
barbecue	barbecue
barbel	barbeau
barbel	barbillon
barber	coiffeur
barber	coiffeuse
bar	comptoir
bar	zinc
bare	nu
bare	nue
barge	chaland
bark	aboiement
bark	barque
bark	écorce
barley	orge
barnacle	pouce-pied
barre	barre
barter	troc
base	base
base	caserne
basement	sous-sol
basil	basilic
basilica	basilique
basketball	basket-ball
basketball	basketball
basket	panier
Basque	basque
basque	guâpière
bass	loup
bat	bâton
bat	chauve-souris
bath	bain
bath	bain
bath	baignoire
bathrobe	peignoir
bathroom	toilette
battery	batterie
battery	pile
batting	ouate
battle	bataille
bauble	babiole
Bavaria	Bavière
bavarois	bavarois
bay	baie
bay	compartiment
bay	baie
BBC	BBC
beach	plage
bead	goutte
bead	perle
beak	bec
beam	poutre
bean	haricot
beanpole	escogriffe
bear	baissier
beard	barbe
bear	ours
beast	bâte
beastmaster	belluaire
beater	batteur
beautiful	beau
beautiful	belle
beaver	castor
